tick;price
"-9280";77,402
"-9279";73,317
"-9278";72,179
"-9277";69,495
"-9276";69,495
"-9275";69,195
"-9274";67,582
"-9273";54,746
"-9272";54,746
"-9271";50,851
"-9270";50,851
"-9269";47,206
"-9268";42,39
"-9267";41,607
"-9266";41,607
"-9265";39,947
"-9264";39,486
"-9263";39,486
"-9262";39,853
"-9261";39,853
"-9260";38,186
"-9259";36,621
"-9258";39,947
"-9257";40,946
"-9256";39,853
"-9255";41,509
"-9254";45,395
"-9253";45,987
"-9252";48,489
"-9251";49,571
"-9250";68,455
"-9249";69,195
"-9248";71,117
"-9247";74,12
"-9246";77,402
"-9245";78,741
"-9244";80,336
"-9243";80,336
"-9242";80,995
"-9241";80,336
"-9240";96,515
"-9239";90,928
"-9238";90,11
"-9237";83,937
"-9236";71,355
"-9235";69,495
"-9234";69,495
"-9233";69,34
"-9232";48,489
"-9231";46,467
"-9230";52,206
"-9229";52,206
"-9228";39,947
"-9227";39,853
"-9226";40,946
"-9225";39,853
"-9224";34,237
"-9223";34,399
"-9222";39,947
"-9221";39,853
"-9220";31,346
"-9219";31,227
"-9218";40,946
"-9217";39,947
"-9216";24,636
"-9215";20,244
"-9214";39,947
"-9213";39,853
"-9212";17,209
"-9211";18,218
"-9210";39,853
"-9209";23,633
"-9208";39,853
"-9207";23,397
"-9206";39,853
"-9205";39,853
"-9204";39,947
"-9203";39,853
"-9202";40,946
"-9201";39,853
"-9200";41,607
"-9199";41,607
"-9198";42,29
"-9197";41,607
"-9196";60,153
"-9195";47,329
"-9194";49,571
"-9193";44,608
"-9192";68,455
"-9191";50,708
"-9190";49,571
"-9189";44,387
"-9188";69,34
"-9187";58,364
"-9186";47,329
"-9185";42,091
"-9184";67,582
"-9183";45,287
"-9182";41,607
"-9181";34,43
"-9180";42,29
"-9179";32,926
"-9178";31,503
"-9177";20,244
"-9176";39,853
"-9175";14,74
"-9174";9,445
"-9173";8,165
"-9172";13,522
"-9171";6,947
"-9170";8,335
"-9169";6,094
"-9168";6,39
"-9167";18,781
"-9166";35,406
"-9165";33,721
"-9164";3,976
"-9163";29,464
"-9162";35,788
"-9161";20,208
"-9160";8,772
"-9159";29,717
"-9158";35,788
"-9157";39,853
"-9156";39,853
"-9155";40,51
"-9154";43,835
"-9153";45,395
"-9152";49,697
"-9151";59,877
"-9150";68,455
"-9149";69,195
"-9148";76,346
"-9147";76,116
"-9146";78,741
"-9145";74,683
"-9144";86,505
"-9143";80,537
"-9142";80,537
"-9141";78,741
"-9140";69,495
"-9139";69,195
"-9138";69,195
"-9137";67,582
"-9136";39,546
"-9135";39,486
"-9134";39,947
"-9133";39,486
"-9132";35,015
"-9131";34,43
"-9130";39,853
"-9129";35,534
"-9128";31,994
"-9127";31,994
"-9126";39,853
"-9125";35,088
"-9124";29,064
"-9123";26,011
"-9122";39,853
"-9121";24,636
"-9120";9,445
"-9119";9,445
"-9118";37,05
"-9117";12,152
"-9116";9,262
"-9115";8,591
"-9114";35,788
"-9113";11,993
"-9112";8,165
"-9111";7,148
"-9110";35,406
"-9109";10,726
"-9108";35,406
"-9107";10,726
"-9106";35,406
"-9105";10,726
"-9104";35,788
"-9103";11,993
"-9102";35,788
"-9101";11,993
"-9100";39,947
"-9099";39,853
"-9098";39,853
"-9097";12,491
"-9096";40,946
"-9095";22,188
"-9094";13,59
"-9093";9,302
"-9092";42,39
"-9091";39,853
"-9090";11,478
"-9089";8,165
"-9088";40,946
"-9087";12,152
"-9086";7,591
"-9085";4,471
"-9084";35,406
"-9083";7,966
"-9082";3,976
"-9081";1,881
"-9080";29,717
"-9079";-0,916
"-9078";-0,28
"-9077";-12,171
"-9076";-15,643
"-9075";-16,715
"-9074";29,464
"-9073";-14,539
"-9072";-17,501
"-9071";-17,468
"-9070";26,503
"-9069";11,457
"-9068";-5,949
"-9067";-4,893
"-9066";29,464
"-9065";29,464
"-9064";9,374
"-9063";15,602
"-9062";30,576
"-9061";31,034
"-9060";35,788
"-9059";39,421
"-9058";41,607
"-9057";43,835
"-9056";53,037
"-9055";60,153
"-9054";67,582
"-9053";67,582
"-9052";73,503
"-9051";69,495
"-9050";74,12
"-9049";69,495
"-9048";83,937
"-9047";81,983
"-9046";81,993
"-9045";78,741
"-9044";77,402
"-9043";69,495
"-9042";69,495
"-9041";69,195
"-9040";41,607
"-9039";40,946
"-9038";41,607
"-9037";40,946
"-9036";39,486
"-9035";39,486
"-9034";39,853
"-9033";38,186
"-9032";33,277
"-9031";32,926
"-9030";39,853
"-9029";32,758
"-9028";31,503
"-9027";31,346
"-9026";39,947
"-9025";39,853
"-9024";26,011
"-9023";24,636
"-9022";39,947
"-9021";39,853
"-9020";24,636
"-9019";20,244
"-9018";39,853
"-9017";21,362
"-9016";40,946
"-9015";39,853
"-9014";40,946
"-9013";39,853
"-9012";42,39
"-9011";42,091
"-9010";42,39
"-9009";42,29
"-9008";68,455
"-9007";67,582
"-9006";67,582
"-9005";48,489
"-9004";187,342
"-9003";91,599
"-9002";83,937
"-9001";78,741
"-9000";241,459
"-8999";129,879
"-8998";111,043
"-8997";83,937
"-8996";130,943
"-8995";87,88
"-8994";81,983
"-8993";77,402
"-8992";73,605
"-8991";71,426
"-8990";71,242
"-8989";69,195
"-8988";69,495
"-8987";67,582
"-8986";66,98
"-8985";50,851
"-8984";67,582
"-8983";45,465
"-8982";44,81
"-8981";41,607
"-8980";40,946
"-8979";39,546
"-8978";39,737
"-8977";39,486
"-8976";39,853
"-8975";39,853
"-8974";40,946
"-8973";39,853
"-8972";39,853
"-8971";40,946
"-8970";44,608
"-8969";46,226
"-8968";47,329
"-8967";67,582
"-8966";69,495
"-8965";76,116
"-8964";69,495
"-8963";78,741
"-8962";81,983
"-8961";83,937
"-8960";87,88
"-8959";90,928
"-8958";124,625
"-8957";102,401
"-8956";214,529
"-8955";150,052
"-8954";123,204
"-8953";93,979
"-8952";311,533
"-8951";158,456
"-8950";141,289
"-8949";117,393
"-8948";92,485
"-8947";87,88
"-8946";94,982
"-8945";87,88
"-8944";73,17
"-8943";74,369
"-8942";77,402
"-8941";76,116
"-8940";66,356
"-8939";62,19
"-8938";67,582
"-8937";67,582
"-8936";41,509
"-8935";40,946
"-8934";41,607
"-8933";40,946
"-8932";35,015
"-8931";37,947
"-8930";39,853
"-8929";39,853
"-8928";32,926
"-8927";32,758
"-8926";39,853
"-8925";39,853
"-8924";31,994
"-8923";31,994
"-8922";39,853
"-8921";39,853
"-8920";41,607
"-8919";41,509
"-8918";41,607
"-8917";41,509
"-8916";46,467
"-8915";45,287
"-8914";47,206
"-8913";45,287
"-8912";69,495
"-8911";69,495
"-8910";69,495
"-8909";69,34
"-8908";225,204
"-8907";113,709
"-8906";94,776
"-8905";80,501
"-8904";314,035
"-8903";155,175
"-8902";135,182
"-8901";110,153
"-8900";158,805
"-8899";133,582
"-8898";131,379
"-8897";108,338
"-8896";131,379
"-8895";108,338
"-8894";117,317
"-8893";106,598
"-8892";129,879
"-8891";92,977
"-8890";92,485
"-8889";83,937
"-8888";87,88
"-8887";81,983
"-8886";80,537
"-8885";78,741
"-8884";76,116
"-8883";74,29
"-8882";76,116
"-8881";73,17
"-8880";73,317
"-8879";72,179
"-8878";76,116
"-8877";76,116
"-8876";71,426
"-8875";76,116
"-8874";78,741
"-8873";78,741
"-8872";78,741
"-8871";78,741
"-8870";81,983
"-8869";83,937
"-8868";80,336
"-8867";80,336
"-8866";87,88
"-8865";87,88
"-8864";142,288
"-8863";111,54
"-8862";145,922
"-8861";134,612
"-8860";187,342
"-8859";132,993
"-8858";138,812
"-8857";129,879
"-8856";320,046
"-8855";168,735
"-8854";146,527
"-8853";131,606
"-8852";108,338
"-8851";107,53
"-8850";108,947
"-8849";107,651
"-8848";78,741
"-8847";78,741
"-8846";78,741
"-8845";78,741
"-8844";69,495
"-8843";69,495
"-8842";71,355
"-8841";72,644
"-8840";42,39
"-8839";42,39
"-8838";42,39
"-8837";42,39
"-8836";39,486
"-8835";39,853
"-8834";39,853
"-8833";39,853
"-8832";35,015
"-8831";39,853
"-8830";39,853
"-8829";39,853
"-8828";33,277
"-8827";39,853
"-8826";39,853
"-8825";39,853
"-8824";39,947
"-8823";39,853
"-8822";39,947
"-8821";39,947
"-8820";45,395
"-8819";45,395
"-8818";45,395
"-8817";45,395
"-8816";74,12
"-8815";72,644
"-8814";69,495
"-8813";69,495
"-8812";251,829
"-8811";150,052
"-8810";99,288
"-8809";84,612
"-8808";299,597
"-8807";156,121
"-8806";135,182
"-8805";113,209
"-8804";134,717
"-8803";131,379
"-8802";129,879
"-8801";108,338
"-8800";103,335
"-8799";92,977
"-8798";87,88
"-8797";81,983
"-8796";81,983
"-8795";78,741
"-8794";77,252
"-8793";73,605
"-8792";74,683
"-8791";72,644
"-8790";71,426
"-8789";69,829
"-8788";68,977
"-8787";67,582
"-8786";57,767
"-8785";54,746
"-8784";48,354
"-8783";47,452
"-8782";48,354
"-8781";47,329
"-8780";45,381
"-8779";47,206
"-8778";49,571
"-8777";53,629
"-8776";50,708
"-8775";68,455
"-8774";69,34
"-8773";72,644
"-8772";68,455
"-8771";69,495
"-8770";77,218
"-8769";80,336
"-8768";90,122
"-8767";119,369
"-8766";145,922
"-8765";150,052
"-8764";187,342
"-8763";152,112
"-8762";138,812
"-8761";129,879
"-8760";298,279
"-8759";168,692
"-8758";146,527
"-8757";131,606
"-8756";112,837
"-8755";129,879
"-8754";115,459
"-8753";118,946
"-8752";78,741
"-8751";78,741
"-8750";78,741
"-8749";78,741
"-8748";69,34
"-8747";69,34
"-8746";69,34
"-8745";69,34
"-8744";44,608
"-8743";44,608
"-8742";44,608
"-8741";44,608
"-8740";36,621
"-8739";39,853
"-8738";39,853
"-8737";36,621
"-8736";34,237
"-8735";35,855
"-8734";34,774
"-8733";34,736
"-8732";32,758
"-8731";35,978
"-8730";35,226
"-8729";39,853
"-8728";40,946
"-8727";40,946
"-8726";40,946
"-8725";40,946
"-8724";45,287
"-8723";45,287
"-8722";45,287
"-8721";45,287
"-8720";69,495
"-8719";69,495
"-8718";69,495
"-8717";69,34
"-8716";225,826
"-8715";135,866
"-8714";94,776
"-8713";82,416
"-8712";261,65
"-8711";153,102
"-8710";129,879
"-8709";109,027
"-8708";139
"-8707";131,379
"-8706";107,53
"-8705";106,598
"-8704";92,977
"-8703";87,88
"-8702";81,983
"-8701";78,741
"-8700";77,402
"-8699";73,605
"-8698";73,17
"-8697";71,426
"-8696";71,242
"-8695";69,34
"-8694";68,318
"-8693";66,98
"-8692";47,206
"-8691";45,287
"-8690";44,608
"-8689";42,39
"-8688";40,946
"-8687";40,946
"-8686";41,509
"-8685";41,607
"-8684";39,853
"-8683";40,946
"-8682";41,607
"-8681";42,39
"-8680";41,607
"-8679";45,287
"-8678";50,851
"-8677";68,455
"-8676";68,455
"-8675";69,495
"-8674";76,116
"-8673";79,137
"-8672";87,88
"-8671";96,159
"-8670";124,515
"-8669";145,922
"-8668";166,508
"-8667";139,088
"-8666";131,268
"-8665";96,103
"-8664";234,17
"-8663";155,175
"-8662";135,182
"-8661";115,94
"-8660";87,88
"-8659";87,88
"-8658";87,88
"-8657";87,88
"-8656";71,426
"-8655";76,116
"-8654";76,116
"-8653";74,683
"-8652";48,928
"-8651";50,708
"-8650";50,851
"-8649";50,851
"-8648";39,486
"-8647";39,853
"-8646";39,486
"-8645";39,853
"-8644";31,994
"-8643";39,853
"-8642";39,853
"-8641";31,994
"-8640";31,227
"-8639";39,853
"-8638";39,853
"-8637";39,853
"-8636";20,244
"-8635";39,853
"-8634";39,853
"-8633";39,853
"-8632";17,209
"-8631";18,285
"-8630";17,628
"-8629";17,47
"-8628";37,05
"-8627";31,777
"-8626";32,194
"-8625";39,853
"-8624";15,732
"-8623";37,05
"-8622";16,084
"-8621";16,053
"-8620";39,947
"-8619";39,853
"-8618";39,853
"-8617";39,853
"-8616";46,029
"-8615";45,287
"-8614";44,608
"-8613";42,091
"-8612";53,527
"-8611";44,608
"-8610";40,946
"-8609";28,081
"-8608";45,287
"-8607";40,946
"-8606";20,244
"-8605";15,775
"-8604";40,946
"-8603";15,956
"-8602";9,445
"-8601";9,258
"-8600";23,868
"-8599";9,151
"-8598";8,591
"-8597";7,148
"-8596";6,947
"-8595";4,471
"-8594";3,616
"-8593";1,881
"-8592";-17,501
"-8591";-14,615
"-8590";-17,501
"-8589";1,657
"-8588";-17,534
"-8587";13,238
"-8586";29,464
"-8585";29,464
"-8584";-5,945
"-8583";28,702
"-8582";29,464
"-8581";30,408
"-8580";13,31
"-8579";34,134
"-8578";37,05
"-8577";40,946
"-8576";44,628
"-8575";46,467
"-8574";50,74
"-8573";56,994
"-8572";69,495
"-8571";69,495
"-8570";69,34
"-8569";68,455
"-8568";75,044
"-8567";69,495
"-8566";69,34
"-8565";68,455
"-8564";44,608
"-8563";42,29
"-8562";41,607
"-8561";41,202
"-8560";32,926
"-8559";32,758
"-8558";31,994
"-8557";32,575
"-8556";31,227
"-8555";29,064
"-8554";33,076
"-8553";32,034
"-8552";9,445
"-8551";9,453
"-8550";12,169
"-8549";10,437
"-8548";7,148
"-8547";10,161
"-8546";13,008
"-8545";32,478
"-8544";6,094
"-8543";7,877
"-8542";5,404
"-8541";5,58
"-8540";4,471
"-8539";3,976
"-8538";11,323
"-8537";3,976
"-8536";5,499
"-8535";3,616
"-8534";29,464
"-8533";17,78
"-8532";29,464
"-8531";9,374
"-8530";8,772
"-8529";29,464
"-8528";34,134
"-8527";22,923
"-8526";10,09
"-8525";12,241
"-8524";40,946
"-8523";39,947
"-8522";39,853
"-8521";12,491
"-8520";45,287
"-8519";42,39
"-8518";40,946
"-8517";18,408
"-8516";49,847
"-8515";44,608
"-8514";41,607
"-8513";39,853
"-8512";44,608
"-8511";40,946
"-8510";20,307
"-8509";9,445
"-8508";39,853
"-8507";9,445
"-8506";8,591
"-8505";6,947
"-8504";35,788
"-8503";6,947
"-8502";4,471
"-8501";3,616
"-8500";20,429
"-8499";0,003
"-8498";-10,094
"-8497";-10,094
"-8496";-15,643
"-8495";-16,715
"-8494";-16,43
"-8493";-2,587
"-8492";-21,558
"-8491";0,175
"-8490";13,238
"-8489";26,503
"-8488";-12,701
"-8487";24,057
"-8486";29,464
"-8485";30,408
"-8484";30,62
"-8483";32,478
"-8482";35,788
"-8481";40,51
"-8480";42,091
"-8479";46,226
"-8478";53,527
"-8477";64,216
"-8476";73,503
"-8475";69,495
"-8474";69,34
"-8473";67,582
"-8472";76,116
"-8471";69,495
"-8470";69,195
"-8469";67,582
"-8468";36,621
"-8467";35,547
"-8466";35,361
"-8465";34,43
"-8464";24,636
"-8463";39,853
"-8462";39,853
"-8461";39,947
"-8460";11,805
"-8459";37,05
"-8458";27,736
"-8457";39,853
"-8456";8,591
"-8455";21,705
"-8454";35,788
"-8453";35,788
"-8452";6,947
"-8451";29,464
"-8450";19,802
"-8449";29,464
"-8448";4,197
"-8447";29,464
"-8446";29,464
"-8445";29,464
"-8444";3,976
"-8443";29,464
"-8442";25,086
"-8441";13,074
"-8440";3,976
"-8439";29,464
"-8438";24,811
"-8437";11,475
"-8436";10,396
"-8435";12,007
"-8434";15,396
"-8433";12,481
"-8432";29,717
"-8431";21,713
"-8430";18,533
"-8429";12,604
"-8428";35,788
"-8427";20,485
"-8426";13,549
"-8425";10,905
"-8424";39,853
"-8423";39,853
"-8422";39,853
"-8421";12,491
"-8420";43,835
"-8419";41,509
"-8418";21,923
"-8417";10,518
"-8416";43,835
"-8415";41,607
"-8414";39,853
"-8413";11,969
"-8412";43,835
"-8411";41,509
"-8410";39,853
"-8409";9,445
"-8408";42,091
"-8407";40,946
"-8406";39,853
"-8405";9,445
"-8404";37,05
"-8403";9,445
"-8402";10,709
"-8401";9,445
"-8400";6,947
"-8399";32,478
"-8398";35,406
"-8397";35,788
"-8396";6,947
"-8395";29,464
"-8394";35,788
"-8393";35,788
"-8392";10,09
"-8391";35,788
"-8390";39,853
"-8389";40,946
"-8388";39,853
"-8387";41,607
"-8386";43,835
"-8385";44,628
"-8384";59,877
"-8383";64,676
"-8382";67,582
"-8381";67,582
"-8380";76,524
"-8379";72,644
"-8378";69,495
"-8377";69,195
"-8376";80,537
"-8375";78,741
"-8374";78,741
"-8373";74,683
"-8372";69,195
"-8371";68,455
"-8370";67,582
"-8369";67,582
"-8368";42,091
"-8367";41,607
"-8366";41,607
"-8365";41,607
"-8364";36,106
"-8363";39,853
"-8362";39,853
"-8361";39,853
"-8360";31,346
"-8359";33,863
"-8358";39,853
"-8357";39,853
"-8356";9,445
"-8355";9,445
"-8354";35,788
"-8353";32,222
"-8352";9,262
"-8351";8,591
"-8350";35,406
"-8349";8,626
"-8348";9,925
"-8347";10,794
"-8346";13,184
"-8345";14,898
"-8344";35,788
"-8343";32,412
"-8342";31,85
"-8341";35,788
"-8340";39,853
"-8339";39,853
"-8338";39,853
"-8337";12,491
"-8336";50,74
"-8335";47,452
"-8334";45,987
"-8333";44,387
"-8332";116,844
"-8331";82,416
"-8330";81,879
"-8329";76,717
"-8328";212,504
"-8327";105,82
"-8326";87,88
"-8325";80,336
"-8324";97,976
"-8323";87,88
"-8322";81,983
"-8321";78,741
"-8320";80,336
"-8319";78,741
"-8318";74,565
"-8317";73,17
"-8316";77,402
"-8315";71,843
"-8314";69,495
"-8313";69,195
"-8312";69,495
"-8311";69,195
"-8310";67,582
"-8309";54,746
"-8308";47,329
"-8307";44,81
"-8306";42,39
"-8305";41,607
"-8304";39,853
"-8303";39,546
"-8302";39,486
"-8301";39,853
"-8300";35,015
"-8299";35,273
"-8298";39,853
"-8297";39,947
"-8296";35,015
"-8295";41,509
"-8294";44,608
"-8293";50,851
"-8292";42,091
"-8291";48,354
"-8290";67,582
"-8289";69,495
"-8288";78,741
"-8287";80,336
"-8286";83,484
"-8285";90,122
"-8284";142,288
"-8283";96,523
"-8282";90,454
"-8281";83,136
"-8280";145,922
"-8279";91,559
"-8278";87,88
"-8277";87,88
"-8276";72,644
"-8275";71,873
"-8274";71,524
"-8273";69,495
"-8272";45,395
"-8271";44,81
"-8270";45,287
"-8269";47,206
"-8268";36,621
"-8267";36,106
"-8266";39,853
"-8265";39,853
"-8264";31,503
"-8263";39,853
"-8262";39,853
"-8261";39,853
"-8260";17,209
"-8259";37,05
"-8258";22,579
"-8257";20,679
"-8256";9,302
"-8255";15,622
"-8254";9,262
"-8253";35,406
"-8252";8,591
"-8251";9,907
"-8250";10,597
"-8249";8,165
"-8248";35,788
"-8247";26,399
"-8246";30,613
"-8245";9,548
"-8244";35,788
"-8243";15,771
"-8242";11,478
"-8241";10,754
"-8240";45,987
"-8239";44,608
"-8238";42,39
"-8237";41,607
"-8236";79,041
"-8235";72,644
"-8234";69,495
"-8233";67,582
"-8232";116,844
"-8231";87,541
"-8230";81,983
"-8229";78,741
"-8228";82,418
"-8227";78,741
"-8226";78,741
"-8225";74,396
"-8224";69,495
"-8223";69,495
"-8222";69,34
"-8221";69,195
"-8220";69,195
"-8219";69,195
"-8218";67,582
"-8217";66,98
"-8216";69,195
"-8215";57,767
"-8214";50,883
"-8213";47,206
"-8212";44,81
"-8211";41,202
"-8210";39,827
"-8209";39,486
"-8208";39,853
"-8207";35,015
"-8206";39,853
"-8205";41,607
"-8204";35,015
"-8203";34,411
"-8202";39,853
"-8201";39,853
"-8200";32,926
"-8199";32,758
"-8198";41,607
"-8197";42,29
"-8196";31,994
"-8195";39,853
"-8194";42,29
"-8193";47,206
"-8192";64,676
"-8191";69,195
"-8190";69,495
"-8189";69,495
"-8188";78,741
"-8187";79,137
"-8186";80,336
"-8185";78,741
"-8184";81,983
"-8183";80,336
"-8182";80,336
"-8181";80,537
"-8180";50,708
"-8179";55,134
"-8178";67,582
"-8177";50,708
"-8176";39,853
"-8175";39,546
"-8174";39,486
"-8173";39,853
"-8172";32,758
"-8171";39,853
"-8170";40,946
"-8169";41,509
"-8168";15,291
"-8167";39,853
"-8166";39,853
"-8165";39,853
"-8164";8,165
"-8163";17,889
"-8162";35,406
"-8161";10,387
"-8160";5,404
"-8159";6,705
"-8158";29,464
"-8157";29,464
"-8156";5,543
"-8155";29,464
"-8154";29,464
"-8153";9,374
"-8152";29,464
"-8151";10,474
"-8150";29,464
"-8149";27,851
"-8148";35,788
"-8147";35,788
"-8146";37,306
"-8145";39,421
"-8144";49,847
"-8143";50,071
"-8142";52,032
"-8141";48,354
"-8140";89,614
"-8139";81,983
"-8138";81,983
"-8137";78,741
"-8136";142,288
"-8135";89,224
"-8134";83,937
"-8133";80,537
"-8132";83,937
"-8131";80,336
"-8130";78,741
"-8129";76,116
"-8128";77,402
"-8127";74,565
"-8126";72,644
"-8125";72,179
"-8124";77,402
"-8123";72,644
"-8122";71,242
"-8121";69,495
"-8120";77,402
"-8119";76,116
"-8118";69,495
"-8117";69,495
"-8116";69,495
"-8115";69,495
"-8114";69,195
"-8113";69,195
"-8112";69,195
"-8111";69,195
"-8110";69,195
"-8109";69,195
"-8108";67,552
"-8107";66,356
"-8106";67,582
"-8105";69,195
"-8104";62,19
"-8103";69,195
"-8102";69,195
"-8101";69,195
"-8100";67,582
"-8099";67,582
"-8098";68,455
"-8097";69,495
"-8096";69,495
"-8095";69,495
"-8094";74,683
"-8093";73,317
"-8092";87,88
"-8091";87,88
"-8090";83,937
"-8089";81,983
"-8088";142,288
"-8087";87,88
"-8086";87,88
"-8085";83,078
"-8084";69,495
"-8083";69,495
"-8082";69,495
"-8081";69,195
"-8080";42,091
"-8079";41,202
"-8078";41,607
"-8077";41,607
"-8076";34,411
"-8075";39,853
"-8074";39,853
"-8073";40,946
"-8072";29,064
"-8071";26,011
"-8070";39,853
"-8069";39,853
"-8068";9,262
"-8067";35,406
"-8066";12,3
"-8065";18,999
"-8064";7,148
"-8063";14,37
"-8062";6,947
"-8061";13,779
"-8060";11,551
"-8059";6,947
"-8058";29,464
"-8057";13,109
"-8056";32,478
"-8055";17,77
"-8054";8,772
"-8053";8,26
"-8052";37,05
"-8051";12,152
"-8050";37,306
"-8049";21,916
